id,lexeme,infinitive,pronoun,form,translation
de:aufhoeren:praes.1pl:produce,aufhoeren,aufhören,wir,hören auf,прекращать
de:aufhoeren:praes.2pl:produce,aufhoeren,aufhören,ihr,hört auf,прекращать
de:aufstehen:praes.1sg:produce,aufstehen,aufstehen,ich,stehe auf,вставать
de:aufstehen:praes.2sg:produce,aufstehen,aufstehen,du,stehst auf,вставать
de:aufstehen:praes.3sg:produce,aufstehen,aufstehen,er,steht auf,вставать
de:aufstehen:praes.1pl:produce,aufstehen,aufstehen,wir,stehen auf,вставать
de:aufstehen:praes.2pl:produce,aufstehen,aufstehen,ihr,steht auf,вставать
de:ausfuellen:praes.1sg:produce,ausfuellen,ausfüllen,ich,fülle aus,заполнить
de:ausfuellen:praes.2sg:produce,ausfuellen,ausfüllen,du,füllst aus,заполнить
de:ausfuellen:praes.3sg:produce,ausfuellen,ausfüllen,er,füllt aus,заполнить
de:ausfuellen:praes.1pl:produce,ausfuellen,ausfüllen,wir,füllen aus,заполнить
de:ausfuellen:praes.2pl:produce,ausfuellen,ausfüllen,ihr,füllt aus,заполнить
de:ausmachen:praes.1sg:produce,ausmachen,ausmachen,ich,mache aus,выключить
de:ausmachen:praes.2sg:produce,ausmachen,ausmachen,du,machst aus,выключить
de:ausmachen:praes.3sg:produce,ausmachen,ausmachen,er,macht aus,выключить
de:ausmachen:praes.1pl:produce,ausmachen,ausmachen,wir,machen aus,выключить
de:ausmachen:praes.2pl:produce,ausmachen,ausmachen,ihr,macht aus,выключить
de:aussehen:praes.1sg:produce,aussehen,aussehen,ich,sehe aus,выглядеть
de:aussehen:praes.2sg:produce,aussehen,aussehen,du,siehst aus,выглядеть
de:aussehen:praes.3sg:produce,aussehen,aussehen,er,sieht aus,выглядеть
de:aussehen:praes.1pl:produce,aussehen,aussehen,wir,sehen aus,выглядеть
de:aussehen:praes.2pl:produce,aussehen,aussehen,ihr,seht aus,выглядеть
de:aussteigen:praes.1sg:produce,aussteigen,aussteigen,ich,steige aus,выходить
de:aussteigen:praes.2sg:produce,aussteigen,aussteigen,du,steigst aus,выходить
de:aussteigen:praes.3sg:produce,aussteigen,aussteigen,er,steigt aus,выходить
de:aussteigen:praes.1pl:produce,aussteigen,aussteigen,wir,steigen aus,выходить
de:aussteigen:praes.2pl:produce,aussteigen,aussteigen,ihr,steigt aus,выходить
de:baden:praes.1sg:produce,baden,baden,ich,bade,купаться
de:baden:praes.2sg:produce,baden,baden,du,badest,купаться
de:baden:praes.3sg:produce,baden,baden,er,badet,купаться
de:baden:praes.1pl:produce,baden,baden,wir,baden,купаться
de:baden:praes.2pl:produce,baden,baden,ihr,badet,купаться
de:beginnen:praes.1sg:produce,beginnen,beginnen,ich,beginne,начинать
de:beginnen:praes.2sg:produce,beginnen,beginnen,du,beginnst,начинать
de:beginnen:praes.3sg:produce,beginnen,beginnen,er,beginnt,начинать
de:beginnen:praes.1pl:produce,beginnen,beginnen,wir,beginnen,начинать
de:beginnen:praes.2pl:produce,beginnen,beginnen,ihr,beginnt,начинать
de:bekommen:praes.1sg:produce,bekommen,bekommen,ich,bekomme,получать
de:bekommen:praes.2sg:produce,bekommen,bekommen,du,bekommst,получать
de:bekommen:praes.3sg:produce,bekommen,bekommen,er,bekommt,получать
de:bekommen:praes.1pl:produce,bekommen,bekommen,wir,bekommen,получать
de:bekommen:praes.2pl:produce,bekommen,bekommen,ihr,bekommt,получать
de:benutzen:praes.1sg:produce,benutzen,benutzen,ich,benutze,пользоваться
de:benutzen:praes.2sg:produce,benutzen,benutzen,du,benutzt,пользоваться
de:benutzen:praes.3sg:produce,benutzen,benutzen,er,benutzt,пользоваться
de:benutzen:praes.1pl:produce,benutzen,benutzen,wir,benutzen,пользоваться
de:benutzen:praes.2pl:produce,benutzen,benutzen,ihr,benutzt,пользоваться
de:besichtigen:praes.1sg:produce,besichtigen,besichtigen,ich,besichtige,осматривать
de:besichtigen:praes.2sg:produce,besichtigen,besichtigen,du,besichtigst,осматривать
de:besichtigen:praes.3sg:produce,besichtigen,besichtigen,er,besichtigt,осматривать
de:besichtigen:praes.1pl:produce,besichtigen,besichtigen,wir,besichtigen,осматривать
de:besichtigen:praes.2pl:produce,besichtigen,besichtigen,ihr,besichtigt,осматривать
de:bestellen:praes.1sg:produce,bestellen,bestellen,ich,bestelle,заказывать
de:bestellen:praes.2sg:produce,bestellen,bestellen,du,bestellst,заказывать
de:bestellen:praes.3sg:produce,bestellen,bestellen,er,bestellt,заказывать
de:bestellen:praes.1pl:produce,bestellen,bestellen,wir,bestellen,заказывать
de:bestellen:praes.2pl:produce,bestellen,bestellen,ihr,bestellt,заказывать
de:besuchen:praes.1sg:produce,besuchen,besuchen,ich,besuche,посещать
de:besuchen:praes.2sg:produce,besuchen,besuchen,du,besuchst,посещать
de:besuchen:praes.3sg:produce,besuchen,besuchen,er,besucht,посещать
de:besuchen:praes.1pl:produce,besuchen,besuchen,wir,besuchen,посещать
de:besuchen:praes.2pl:produce,besuchen,besuchen,ihr,besucht,посещать
de:bezahlen:praes.1sg:produce,bezahlen,bezahlen,ich,bezahle,оплатить
de:bezahlen:praes.2sg:produce,bezahlen,bezahlen,du,bezahlst,оплатить
de:bezahlen:praes.3sg:produce,bezahlen,bezahlen,er,bezahlt,оплатить
de:bezahlen:praes.1pl:produce,bezahlen,bezahlen,wir,bezahlen,оплатить
de:bezahlen:praes.2pl:produce,bezahlen,bezahlen,ihr,bezahlt,оплатить
de:bitten:praes.1sg:produce,bitten,bitten,ich,bitte,просить
de:bitten:praes.2sg:produce,bitten,bitten,du,bittest,просить
de:bitten:praes.3sg:produce,bitten,bitten,er,bittet,просить
de:bitten:praes.1pl:produce,bitten,bitten,wir,bitten,просить
de:bitten:praes.2pl:produce,bitten,bitten,ihr,bittet,просить
de:bleiben:praes.1sg:produce,bleiben,bleiben,ich,bleibe,оставаться
de:bleiben:praes.2sg:produce,bleiben,bleiben,du,bleibst,оставаться
de:bleiben:praes.3sg:produce,bleiben,bleiben,er,bleibt,оставаться
de:bleiben:praes.1pl:produce,bleiben,bleiben,wir,bleiben,оставаться
de:bleiben:praes.2pl:produce,bleiben,bleiben,ihr,bleibt,оставаться
de:brauchen:praes.1sg:produce,brauchen,brauchen,ich,brauche,нуждаться
de:brauchen:praes.2sg:produce,brauchen,brauchen,du,brauchst,нуждаться
de:brauchen:praes.3sg:produce,brauchen,brauchen,er,braucht,нуждаться
de:brauchen:praes.1pl:produce,brauchen,brauchen,wir,brauchen,нуждаться
de:brauchen:praes.2pl:produce,brauchen,brauchen,ihr,braucht,нуждаться
de:bringen:praes.1sg:produce,bringen,bringen,ich,bringe,приносить
de:bringen:praes.2sg:produce,bringen,bringen,du,bringst,приносить
de:bringen:praes.3sg:produce,bringen,bringen,er,bringt,приносить
de:bringen:praes.1pl:produce,bringen,bringen,wir,bringen,приносить
de:bringen:praes.2pl:produce,bringen,bringen,ihr,bringt,приносить
de:buchstabieren:praes.1sg:produce,buchstabieren,buchstabieren,ich,buchstabiere,прогрваривать по буквам
de:buchstabieren:praes.2sg:produce,buchstabieren,buchstabieren,du,buchstabierst,прогрваривать по буквам
de:buchstabieren:praes.3sg:produce,buchstabieren,buchstabieren,er,buchstabiert,прогрваривать по буквам
