lexeme,count,rank,source,license
auf-adj,36154,28,Tatoeba deu,CC BY 2.0 FR
auf-adv,36154,28,Tatoeba deu,CC BY 2.0 FR
aufenthalt,123,753,Tatoeba deu,CC BY 2.0 FR
aufgabe,807,449,Tatoeba deu,CC BY 2.0 FR
aufhoeren,1402,347,Tatoeba deu,CC BY 2.0 FR
aufraeumen,207,698,Tatoeba deu,CC BY 2.0 FR
aufstehen,694,479,Tatoeba deu,CC BY 2.0 FR
aufwachen,254,662,Tatoeba deu,CC BY 2.0 FR
aufzug,196,708,Tatoeba deu,CC BY 2.0 FR
auge,2991,220,Tatoeba deu,CC BY 2.0 FR
aus,18439,60,Tatoeba deu,CC BY 2.0 FR
aus-adj,18439,60,Tatoeba deu,CC BY 2.0 FR
aus-prep,18439,60,Tatoeba deu,CC BY 2.0 FR
ausflug,87,804,Tatoeba deu,CC BY 2.0 FR
ausfuellen,90,801,Tatoeba deu,CC BY 2.0 FR
ausgang,90,801,Tatoeba deu,CC BY 2.0 FR
auskunft,23,877,Tatoeba deu,CC BY 2.0 FR
auslaender,205,699,Tatoeba deu,CC BY 2.0 FR
auslaendisch,119,758,Tatoeba deu,CC BY 2.0 FR
ausland,593,514,Tatoeba deu,CC BY 2.0 FR
ausmachen,331,618,Tatoeba deu,CC BY 2.0 FR
aussage,154,735,Tatoeba deu,CC BY 2.0 FR
aussehen,659,489,Tatoeba deu,CC BY 2.0 FR
aussteigen,104,779,Tatoeba deu,CC BY 2.0 FR
ausweis,61,836,Tatoeba deu,CC BY 2.0 FR
ausziehen,186,718,Tatoeba deu,CC BY 2.0 FR
auto,4576,150,Tatoeba deu,CC BY 2.0 FR
autobahn,107,774,Tatoeba deu,CC BY 2.0 FR
automat,28,871,Tatoeba deu,CC BY 2.0 FR
automatisch,104,779,Tatoeba deu,CC BY 2.0 FR
baby,503,538,Tatoeba deu,CC BY 2.0 FR
backen,482,546,Tatoeba deu,CC BY 2.0 FR
bad,278,647,Tatoeba deu,CC BY 2.0 FR
baden,470,555,Tatoeba deu,CC BY 2.0 FR
badezimmer,155,733,Tatoeba deu,CC BY 2.0 FR
baeckerei,71,818,Tatoeba deu,CC BY 2.0 FR
bahn,285,638,Tatoeba deu,CC BY 2.0 FR
bahnhof,946,415,Tatoeba deu,CC BY 2.0 FR
bahnsteig,47,855,Tatoeba deu,CC BY 2.0 FR
bald,2588,246,Tatoeba deu,CC BY 2.0 FR
balkon,109,773,Tatoeba deu,CC BY 2.0 FR
banane,226,677,Tatoeba deu,CC BY 2.0 FR
bank,675,485,Tatoeba deu,CC BY 2.0 FR
bar,114,766,Tatoeba deu,CC BY 2.0 FR
bar-adv,93,795,Tatoeba deu,CC BY 2.0 FR
bar-prep,93,795,Tatoeba deu,CC BY 2.0 FR
bargeld,86,805,Tatoeba deu,CC BY 2.0 FR
bauch,207,698,Tatoeba deu,CC BY 2.0 FR
baum,1824,295,Tatoeba deu,CC BY 2.0 FR
beamte,66,825,Tatoeba deu,CC BY 2.0 FR
bedeuten,1195,371,Tatoeba deu,CC BY 2.0 FR
beginnen,2081,273,Tatoeba deu,CC BY 2.0 FR
bei,8725,105,Tatoeba deu,CC BY 2.0 FR
beide,2914,227,Tatoeba deu,CC BY 2.0 FR
bein,869,430,Tatoeba deu,CC BY 2.0 FR
beispiel,630,503,Tatoeba deu,CC BY 2.0 FR
bekannt,651,492,Tatoeba deu,CC BY 2.0 FR
bekannt-adj,893,428,Tatoeba deu,CC BY 2.0 FR
bekommen,3713,192,Tatoeba deu,CC BY 2.0 FR
benutzen,1354,350,Tatoeba deu,CC BY 2.0 FR
beruf,318,622,Tatoeba deu,CC BY 2.0 FR
besetzt,95,789,Tatoeba deu,CC BY 2.0 FR
besetzt-adj,117,763,Tatoeba deu,CC BY 2.0 FR
besichtigen,83,807,Tatoeba deu,CC BY 2.0 FR
besprechung,125,750,Tatoeba deu,CC BY 2.0 FR
besser,4336,173,Tatoeba deu,CC BY 2.0 FR
besser-adv,4336,173,Tatoeba deu,CC BY 2.0 FR
besser-verb,4336,173,Tatoeba deu,CC BY 2.0 FR
bestellen,504,537,Tatoeba deu,CC BY 2.0 FR
besuchen,1863,285,Tatoeba deu,CC BY 2.0 FR
bett,1939,280,Tatoeba deu,CC BY 2.0 FR
bezahlen,1594,320,Tatoeba deu,CC BY 2.0 FR
bier,1029,399,Tatoeba deu,CC BY 2.0 FR
bild,1425,341,Tatoeba deu,CC BY 2.0 FR
billig,438,574,Tatoeba deu,CC BY 2.0 FR
birne,117,763,Tatoeba deu,CC BY 2.0 FR
bis,4377,165,Tatoeba deu,CC BY 2.0 FR
bis-prep,4377,165,Tatoeba deu,CC BY 2.0 FR
bisschen,1432,340,Tatoeba deu,CC BY 2.0 FR
bitte,5102,143,Tatoeba deu,CC BY 2.0 FR
bitte-noun,3059,218,Tatoeba deu,CC BY 2.0 FR
bitte-part,5102,143,Tatoeba deu,CC BY 2.0 FR
bitte-verb,5102,143,Tatoeba deu,CC BY 2.0 FR
bitten,7776,111,Tatoeba deu,CC BY 2.0 FR
bitter,196,708,Tatoeba deu,CC BY 2.0 FR
bitter-adv,94,791,Tatoeba deu,CC BY 2.0 FR
bleiben,5473,135,Tatoeba deu,CC BY 2.0 FR
bleistift,293,635,Tatoeba deu,CC BY 2.0 FR
blick,707,475,Tatoeba deu,CC BY 2.0 FR
blume,1214,367,Tatoeba deu,CC BY 2.0 FR
blut,447,567,Tatoeba deu,CC BY 2.0 FR
boden,802,452,Tatoeba deu,CC BY 2.0 FR
boese,739,469,Tatoeba deu,CC BY 2.0 FR
boese-adv,535,530,Tatoeba deu,CC BY 2.0 FR
bogen,79,810,Tatoeba deu,CC BY 2.0 FR
brauchen,7345,115,Tatoeba deu,CC BY 2.0 FR
breit,230,674,Tatoeba deu,CC BY 2.0 FR
brief,2135,270,Tatoeba deu,CC BY 2.0 FR
briefmarke,151,737,Tatoeba deu,CC BY 2.0 FR
bringen,4266,177,Tatoeba deu,CC BY 2.0 FR
broetchen,100,785,Tatoeba deu,CC BY 2.0 FR
brot,1204,369,Tatoeba deu,CC BY 2.0 FR
bruder,2649,244,Tatoeba deu,CC BY 2.0 FR
bruecke,500,539,Tatoeba deu,CC BY 2.0 FR
buch,6738,118,Tatoeba deu,CC BY 2.0 FR
buchstabe,283,640,Tatoeba deu,CC BY 2.0 FR
buchstabieren,52,847,Tatoeba deu,CC BY 2.0 FR
buero,900,425,Tatoeba deu,CC BY 2.0 FR
bus,1523,326,Tatoeba deu,CC BY 2.0 FR
butter,276,650,Tatoeba deu,CC BY 2.0 FR
cd,113,767,Tatoeba deu,CC BY 2.0 FR
cent,64,830,Tatoeba deu,CC BY 2.0 FR
chef,727,471,Tatoeba deu,CC BY 2.0 FR
computer,912,423,Tatoeba deu,CC BY 2.0 FR
da,6619,121,Tatoeba deu,CC BY 2.0 FR
da-conj,6619,121,Tatoeba deu,CC BY 2.0 FR
dame,563,518,Tatoeba deu,CC BY 2.0 FR
daneben,99,788,Tatoeba deu,CC BY 2.0 FR
dank,1908,284,Tatoeba deu,CC BY 2.0 FR
danke,391,586,Tatoeba deu,CC BY 2.0 FR
danke-part,391,586,Tatoeba deu,CC BY 2.0 FR
danken,820,440,Tatoeba deu,CC BY 2.0 FR
dann,4497,154,Tatoeba deu,CC BY 2.0 FR
datum,230,674,Tatoeba deu,CC BY 2.0 FR
dauern,1152,381,Tatoeba deu,CC BY 2.0 FR
decke,261,657,Tatoeba deu,CC BY 2.0 FR
dein,3599,196,Tatoeba deu,CC BY 2.0 FR
denn,4457,158,Tatoeba deu,CC BY 2.0 FR
denn-adv,4457,158,Tatoeba deu,CC BY 2.0 FR
denn-part,4457,158,Tatoeba deu,CC BY 2.0 FR
der,72837,11,Tatoeba deu,CC BY 2.0 FR
der-pron,310642,1,Tatoeba deu,CC BY 2.0 FR
dich,16297,70,Tatoeba deu,CC BY 2.0 FR
dies,1175,376,Tatoeba deu,CC BY 2.0 FR
dir,16140,71,Tatoeba deu,CC BY 2.0 FR
disco,13,889,Tatoeba deu,CC BY 2.0 FR
doktor,236,668,Tatoeba deu,CC BY 2.0 FR
doppelzimmer,20,881,Tatoeba deu,CC BY 2.0 FR
dorf,799,454,Tatoeba deu,CC BY 2.0 FR
dort,3306,208,Tatoeba deu,CC BY 2.0 FR
draussen,1124,385,Tatoeba deu,CC BY 2.0 FR
drucken,69,821,Tatoeba deu,CC BY 2.0 FR
drucker,51,850,Tatoeba deu,CC BY 2.0 FR
druecken,484,545,Tatoeba deu,CC BY 2.0 FR
duerfen,2919,226,Tatoeba deu,CC BY 2.0 FR
durch,4368,168,Tatoeba deu,CC BY 2.0 FR
durch-adj,4368,168,Tatoeba deu,CC BY 2.0 FR
durch-adv,4368,168,Tatoeba deu,CC BY 2.0 FR
durchsage,8,899,Tatoeba deu,CC BY 2.0 FR
durst,242,666,Tatoeba deu,CC BY 2.0 FR
dusche,138,745,Tatoeba deu,CC BY 2.0 FR
duschen,213,690,Tatoeba deu,CC BY 2.0 FR
ecke,347,608,Tatoeba deu,CC BY 2.0 FR
ehefrau,214,685,Tatoeba deu,CC BY 2.0 FR
ehemann,284,639,Tatoeba deu,CC BY 2.0 FR
ei,1413,344,Tatoeba deu,CC BY 2.0 FR
eilig,213,690,Tatoeba deu,CC BY 2.0 FR
ein,53424,19,Tatoeba deu,CC BY 2.0 FR
ein-adj,53424,19,Tatoeba deu,CC BY 2.0 FR
ein-adv,53424,19,Tatoeba deu,CC BY 2.0 FR
ein-part,138337,4,Tatoeba deu,CC BY 2.0 FR
einfach,4562,151,Tatoeba deu,CC BY 2.0 FR
einfach-adv,3834,187,Tatoeba deu,CC BY 2.0 FR
eingang,109,773,Tatoeba deu,CC BY 2.0 FR
einkaufen,380,590,Tatoeba deu,CC BY 2.0 FR
einladen,807,449,Tatoeba deu,CC BY 2.0 FR
einladung,199,704,Tatoeba deu,CC BY 2.0 FR
einmal,5869,131,Tatoeba deu,CC BY 2.0 FR
einsteigen,80,809,Tatoeba deu,CC BY 2.0 FR
eintritt,78,811,Tatoeba deu,CC BY 2.0 FR
einzelzimmer,17,884,Tatoeba deu,CC BY 2.0 FR
eltern,2344,259,Tatoeba deu,CC BY 2.0 FR
empfaenger,28,871,Tatoeba deu,CC BY 2.0 FR
empfehlen,451,565,Tatoeba deu,CC BY 2.0 FR
ende,2190,269,Tatoeba deu,CC BY 2.0 FR
enden,495,540,Tatoeba deu,CC BY 2.0 FR
entschuldigen,622,506,Tatoeba deu,CC BY 2.0 FR
entschuldigung,449,566,Tatoeba deu,CC BY 2.0 FR
er,30449,30,Tatoeba deu,CC BY 2.0 FR
ergebnis,617,507,Tatoeba deu,CC BY 2.0 FR
erkaeltung,230,674,Tatoeba deu,CC BY 2.0 FR
erklaeren,1567,322,Tatoeba deu,CC BY 2.0 FR
erlauben,672,486,Tatoeba deu,CC BY 2.0 FR
erwachsene,242,666,Tatoeba deu,CC BY 2.0 FR
erzaehlen,2289,265,Tatoeba deu,CC BY 2.0 FR
es,49752,21,Tatoeba deu,CC BY 2.0 FR
es-part,49752,21,Tatoeba deu,CC BY 2.0 FR
essen,7504,114,Tatoeba deu,CC BY 2.0 FR
essen-noun,1621,317,Tatoeba deu,CC BY 2.0 FR
euer,540,529,Tatoeba deu,CC BY 2.0 FR
fahren,5644,133,Tatoeba deu,CC BY 2.0 FR
fahrer,255,661,Tatoeba deu,CC BY 2.0 FR
fahrkarte,212,691,Tatoeba deu,CC BY 2.0 FR
fahrplan,29,868,Tatoeba deu,CC BY 2.0 FR
fahrrad,1145,383,Tatoeba deu,CC BY 2.0 FR
falsch,1602,318,Tatoeba deu,CC BY 2.0 FR
familie,1937,281,Tatoeba deu,CC BY 2.0 FR
familienname,85,806,Tatoeba deu,CC BY 2.0 FR
familienstand,10,893,Tatoeba deu,CC BY 2.0 FR
farbe,851,433,Tatoeba deu,CC BY 2.0 FR
fax,28,871,Tatoeba deu,CC BY 2.0 FR
fehlen,1203,370,Tatoeba deu,CC BY 2.0 FR
fehler,2580,248,Tatoeba deu,CC BY 2.0 FR
feier,528,531,Tatoeba deu,CC BY 2.0 FR
feiern,387,588,Tatoeba deu,CC BY 2.0 FR
feiertag,123,753,Tatoeba deu,CC BY 2.0 FR
fenster,1642,313,Tatoeba deu,CC BY 2.0 FR
fernsehen,199,704,Tatoeba deu,CC BY 2.0 FR
fertig,1668,311,Tatoeba deu,CC BY 2.0 FR
feuer,948,414,Tatoeba deu,CC BY 2.0 FR
fieber,196,708,Tatoeba deu,CC BY 2.0 FR
film,1668,311,Tatoeba deu,CC BY 2.0 FR
finden,8265,107,Tatoeba deu,CC BY 2.0 FR
finger,592,515,Tatoeba deu,CC BY 2.0 FR
firma,693,480,Tatoeba deu,CC BY 2.0 FR
fisch,1165,379,Tatoeba deu,CC BY 2.0 FR
flasche,545,527,Tatoeba deu,CC BY 2.0 FR
fleisch,697,477,Tatoeba deu,CC BY 2.0 FR
fliegen,1113,387,Tatoeba deu,CC BY 2.0 FR
flughafen,476,550,Tatoeba deu,CC BY 2.0 FR
flugzeug,641,494,Tatoeba deu,CC BY 2.0 FR
flur,102,783,Tatoeba deu,CC BY 2.0 FR
formular,73,815,Tatoeba deu,CC BY 2.0 FR
foto,798,455,Tatoeba deu,CC BY 2.0 FR
frage,3802,189,Tatoeba deu,CC BY 2.0 FR
fragen,4561,152,Tatoeba deu,CC BY 2.0 FR
frau,6294,125,Tatoeba deu,CC BY 2.0 FR
frei,1256,363,Tatoeba deu,CC BY 2.0 FR
freizeit,186,718,Tatoeba deu,CC BY 2.0 FR
fremd,348,607,Tatoeba deu,CC BY 2.0 FR
freund,5874,130,Tatoeba deu,CC BY 2.0 FR
frueher,1595,319,Tatoeba deu,CC BY 2.0 FR
frueher-adv,1484,331,Tatoeba deu,CC BY 2.0 FR
fruehling,438,574,Tatoeba deu,CC BY 2.0 FR
fruehstueck,638,496,Tatoeba deu,CC BY 2.0 FR
fruehstuecken,914,419,Tatoeba deu,CC BY 2.0 FR
fuehrerschein,194,711,Tatoeba deu,CC BY 2.0 FR
fuehrung,56,844,Tatoeba deu,CC BY 2.0 FR
fuer,22629,39,Tatoeba deu,CC BY 2.0 FR
fuss,1468,338,Tatoeba deu,CC BY 2.0 FR
fussball,414,581,Tatoeba deu,CC BY 2.0 FR
gabel,87,804,Tatoeba deu,CC BY 2.0 FR
garten,1341,351,Tatoeba deu,CC BY 2.0 FR
gast,567,516,Tatoeba deu,CC BY 2.0 FR
geben,15939,72,Tatoeba deu,CC BY 2.0 FR
geboren,1204,369,Tatoeba deu,CC BY 2.0 FR
gebuehr,33,864,Tatoeba deu,CC BY 2.0 FR
geburtsdatum,23,877,Tatoeba deu,CC BY 2.0 FR
geburtsjahr,3,907,Tatoeba deu,CC BY 2.0 FR
geburtsort,22,878,Tatoeba deu,CC BY 2.0 FR
geburtstag,741,466,Tatoeba deu,CC BY 2.0 FR
gefallen,3763,190,Tatoeba deu,CC BY 2.0 FR
gefallen-adj,1721,305,Tatoeba deu,CC BY 2.0 FR
gegen,2264,267,Tatoeba deu,CC BY 2.0 FR
gehen,21947,46,Tatoeba deu,CC BY 2.0 FR
gehoeren,3850,185,Tatoeba deu,CC BY 2.0 FR
geld,6299,124,Tatoeba deu,CC BY 2.0 FR
geldautomat,37,861,Tatoeba deu,CC BY 2.0 FR
gemuese,416,580,Tatoeba deu,CC BY 2.0 FR
geoeffnet,416,580,Tatoeba deu,CC BY 2.0 FR
geoeffnet-adj,457,563,Tatoeba deu,CC BY 2.0 FR
gepaeck,215,684,Tatoeba deu,CC BY 2.0 FR
gerade,4586,149,Tatoeba deu,CC BY 2.0 FR
gerade-adv,4559,153,Tatoeba deu,CC BY 2.0 FR
geradeaus,50,851,Tatoeba deu,CC BY 2.0 FR
geschaeft,724,472,Tatoeba deu,CC BY 2.0 FR
geschenk,992,405,Tatoeba deu,CC BY 2.0 FR
geschlossen,547,526,Tatoeba deu,CC BY 2.0 FR
geschlossen-adj,637,497,Tatoeba deu,CC BY 2.0 FR
geschlossen-adv,547,526,Tatoeba deu,CC BY 2.0 FR
geschwister,150,738,Tatoeba deu,CC BY 2.0 FR
gespraech,469,558,Tatoeba deu,CC BY 2.0 FR
gestern,3114,215,Tatoeba deu,CC BY 2.0 FR
gestorben,816,444,Tatoeba deu,CC BY 2.0 FR
gestorben-adj,817,443,Tatoeba deu,CC BY 2.0 FR
gesundheit,681,484,Tatoeba deu,CC BY 2.0 FR
getraenk,267,655,Tatoeba deu,CC BY 2.0 FR
gewicht,207,698,Tatoeba deu,CC BY 2.0 FR
gewinnen,2058,274,Tatoeba deu,CC BY 2.0 FR
glas,852,432,Tatoeba deu,CC BY 2.0 FR
glauben,9319,97,Tatoeba deu,CC BY 2.0 FR
gleich,3240,210,Tatoeba deu,CC BY 2.0 FR
gleich-adv,1997,277,Tatoeba deu,CC BY 2.0 FR
gleis,49,853,Tatoeba deu,CC BY 2.0 FR
glueck,1836,294,Tatoeba deu,CC BY 2.0 FR
gluecklich,2550,249,Tatoeba deu,CC BY 2.0 FR
glueckwunsch,103,780,Tatoeba deu,CC BY 2.0 FR
grad,288,636,Tatoeba deu,CC BY 2.0 FR
gramm,49,853,Tatoeba deu,CC BY 2.0 FR
gratulieren,106,776,Tatoeba deu,CC BY 2.0 FR
grillen,56,844,Tatoeba deu,CC BY 2.0 FR
grippe,73,815,Tatoeba deu,CC BY 2.0 FR
groesse,276,650,Tatoeba deu,CC BY 2.0 FR
gross,8991,103,Tatoeba deu,CC BY 2.0 FR
gross-adv,1662,312,Tatoeba deu,CC BY 2.0 FR
grosseltern,148,739,Tatoeba deu,CC BY 2.0 FR
grossmutter,481,547,Tatoeba deu,CC BY 2.0 FR
grossvater,551,524,Tatoeba deu,CC BY 2.0 FR
gruppe,471,554,Tatoeba deu,CC BY 2.0 FR
gruss,145,741,Tatoeba deu,CC BY 2.0 FR
gueltig,67,823,Tatoeba deu,CC BY 2.0 FR
guenstig,222,680,Tatoeba deu,CC BY 2.0 FR
gut,22550,40,Tatoeba deu,CC BY 2.0 FR
gut-adv,13947,76,Tatoeba deu,CC BY 2.0 FR
haar,1504,328,Tatoeba deu,CC BY 2.0 FR
haben,141326,3,Tatoeba deu,CC BY 2.0 FR
haehnchen,24,874,Tatoeba deu,CC BY 2.0 FR
halbpension,2,908,Tatoeba deu,CC BY 2.0 FR
halle,58,841,Tatoeba deu,CC BY 2.0 FR
hals,297,630,Tatoeba deu,CC BY 2.0 FR
halten,5148,140,Tatoeba deu,CC BY 2.0 FR
haltestelle,105,777,Tatoeba deu,CC BY 2.0 FR
hand,2993,219,Tatoeba deu,CC BY 2.0 FR
handy,282,642,Tatoeba deu,CC BY 2.0 FR
haus,10470,90,Tatoeba deu,CC BY 2.0 FR
hausaufgabe,696,478,Tatoeba deu,CC BY 2.0 FR
hausfrau,51,850,Tatoeba deu,CC BY 2.0 FR
hausmann,8,899,Tatoeba deu,CC BY 2.0 FR
haut,310,626,Tatoeba deu,CC BY 2.0 FR
heimat,259,658,Tatoeba deu,CC BY 2.0 FR
heiraten,1744,303,Tatoeba deu,CC BY 2.0 FR
heissen,3603,195,Tatoeba deu,CC BY 2.0 FR
heissen-adj,423,578,Tatoeba deu,CC BY 2.0 FR
helfen,6907,117,Tatoeba deu,CC BY 2.0 FR
hell,342,611,Tatoeba deu,CC BY 2.0 FR
hell-adv,170,724,Tatoeba deu,CC BY 2.0 FR
herbst,379,592,Tatoeba deu,CC BY 2.0 FR
herd,112,769,Tatoeba deu,CC BY 2.0 FR
herr,1849,291,Tatoeba deu,CC BY 2.0 FR
herz,1925,283,Tatoeba deu,CC BY 2.0 FR
herzlich,145,741,Tatoeba deu,CC BY 2.0 FR
heute,7686,112,Tatoeba deu,CC BY 2.0 FR
hier,11614,87,Tatoeba deu,CC BY 2.0 FR
hilfe,2288,266,Tatoeba deu,CC BY 2.0 FR
hinten,268,654,Tatoeba deu,CC BY 2.0 FR
hobby,218,683,Tatoeba deu,CC BY 2.0 FR
hoch,2090,272,Tatoeba deu,CC BY 2.0 FR
hoch-adv,1003,404,Tatoeba deu,CC BY 2.0 FR
hoch-noun,821,439,Tatoeba deu,CC BY 2.0 FR
hochzeit,304,627,Tatoeba deu,CC BY 2.0 FR
hoeren,8260,108,Tatoeba deu,CC BY 2.0 FR
holen,847,436,Tatoeba deu,CC BY 2.0 FR
hotel,771,459,Tatoeba deu,CC BY 2.0 FR
hund,3999,184,Tatoeba deu,CC BY 2.0 FR
hunger,709,474,Tatoeba deu,CC BY 2.0 FR
husten,94,791,Tatoeba deu,CC BY 2.0 FR
husten-noun,65,826,Tatoeba deu,CC BY 2.0 FR
ich,65029,12,Tatoeba deu,CC BY 2.0 FR
immer,12762,84,Tatoeba deu,CC BY 2.0 FR
in,57145,16,Tatoeba deu,CC BY 2.0 FR
in-adj,57145,16,Tatoeba deu,CC BY 2.0 FR
information,439,572,Tatoeba deu,CC BY 2.0 FR
international,235,669,Tatoeba deu,CC BY 2.0 FR
internet,424,577,Tatoeba deu,CC BY 2.0 FR
ja,2682,241,Tatoeba deu,CC BY 2.0 FR
ja-part,2682,241,Tatoeba deu,CC BY 2.0 FR
jacke,263,656,Tatoeba deu,CC BY 2.0 FR
jahreszeit,134,748,Tatoeba deu,CC BY 2.0 FR
jetzt,6649,119,Tatoeba deu,CC BY 2.0 FR
job,426,575,Tatoeba deu,CC BY 2.0 FR
jugendliche,202,701,Tatoeba deu,CC BY 2.0 FR
jung,2711,237,Tatoeba deu,CC BY 2.0 FR
junge,2298,263,Tatoeba deu,CC BY 2.0 FR
kaese,374,595,Tatoeba deu,CC BY 2.0 FR
kaffee,2042,275,Tatoeba deu,CC BY 2.0 FR
kaputt,489,542,Tatoeba deu,CC BY 2.0 FR
karte,639,495,Tatoeba deu,CC BY 2.0 FR
kartoffel,297,630,Tatoeba deu,CC BY 2.0 FR
kasse,90,801,Tatoeba deu,CC BY 2.0 FR
katze,1849,291,Tatoeba deu,CC BY 2.0 FR
kaufen,6015,127,Tatoeba deu,CC BY 2.0 FR
kein,23885,37,Tatoeba deu,CC BY 2.0 FR
keller,226,677,Tatoeba deu,CC BY 2.0 FR
kennen,5014,145,Tatoeba deu,CC BY 2.0 FR
kennenlernen,1008,403,Tatoeba deu,CC BY 2.0 FR
kilo,189,714,Tatoeba deu,CC BY 2.0 FR
kind,7531,113,Tatoeba deu,CC BY 2.0 FR
kindergarten,89,802,Tatoeba deu,CC BY 2.0 FR
kinderzimmer,9,896,Tatoeba deu,CC BY 2.0 FR
kino,552,523,Tatoeba deu,CC BY 2.0 FR
kiosk,14,888,Tatoeba deu,CC BY 2.0 FR
klar,1111,388,Tatoeba deu,CC BY 2.0 FR
klar-adv,900,425,Tatoeba deu,CC BY 2.0 FR
klasse,632,502,Tatoeba deu,CC BY 2.0 FR
kleidung,461,560,Tatoeba deu,CC BY 2.0 FR
klein,4349,169,Tatoeba deu,CC BY 2.0 FR
knie,213,690,Tatoeba deu,CC BY 2.0 FR
kochen,1045,396,Tatoeba deu,CC BY 2.0 FR
koennen,43588,22,Tatoeba deu,CC BY 2.0 FR
koerper,685,483,Tatoeba deu,CC BY 2.0 FR
koffer,439,572,Tatoeba deu,CC BY 2.0 FR
kollege,280,646,Tatoeba deu,CC BY 2.0 FR
kommen,18078,61,Tatoeba deu,CC BY 2.0 FR
konto,121,755,Tatoeba deu,CC BY 2.0 FR
kopf,1711,306,Tatoeba deu,CC BY 2.0 FR
kosten,1324,353,Tatoeba deu,CC BY 2.0 FR
kosten-noun,201,702,Tatoeba deu,CC BY 2.0 FR
krank,1480,334,Tatoeba deu,CC BY 2.0 FR
krankenhaus,829,437,Tatoeba deu,CC BY 2.0 FR
krankheit,607,509,Tatoeba deu,CC BY 2.0 FR
kreditkarte,111,771,Tatoeba deu,CC BY 2.0 FR
kreuzung,63,832,Tatoeba deu,CC BY 2.0 FR
kriegen,514,532,Tatoeba deu,CC BY 2.0 FR
kuchen,847,436,Tatoeba deu,CC BY 2.0 FR
kueche,741,466,Tatoeba deu,CC BY 2.0 FR
kuehlschrank,390,587,Tatoeba deu,CC BY 2.0 FR
kugelschreiber,76,813,Tatoeba deu,CC BY 2.0 FR
kulturell,102,783,Tatoeba deu,CC BY 2.0 FR
kunde,329,619,Tatoeba deu,CC BY 2.0 FR
kurs,213,690,Tatoeba deu,CC BY 2.0 FR
kurz,1737,304,Tatoeba deu,CC BY 2.0 FR
kurz-adv,1018,401,Tatoeba deu,CC BY 2.0 FR
lachen,1285,361,Tatoeba deu,CC BY 2.0 FR
laden,667,487,Tatoeba deu,CC BY 2.0 FR
lampe,122,754,Tatoeba deu,CC BY 2.0 FR
land,3449,206,Tatoeba deu,CC BY 2.0 FR
lang,8153,109,Tatoeba deu,CC BY 2.0 FR
lang-adv,1849,291,Tatoeba deu,CC BY 2.0 FR
lang-prep,1849,291,Tatoeba deu,CC BY 2.0 FR
lang-verb,1849,291,Tatoeba deu,CC BY 2.0 FR
lange,4322,176,Tatoeba deu,CC BY 2.0 FR
lange-adj,4322,176,Tatoeba deu,CC BY 2.0 FR
lange-verb,4322,176,Tatoeba deu,CC BY 2.0 FR
langsam,1161,380,Tatoeba deu,CC BY 2.0 FR
langsam-adv,913,420,Tatoeba deu,CC BY 2.0 FR
laufen,2289,265,Tatoeba deu,CC BY 2.0 FR
laut,1044,397,Tatoeba deu,CC BY 2.0 FR
laut-adv,556,522,Tatoeba deu,CC BY 2.0 FR
laut-prep,556,522,Tatoeba deu,CC BY 2.0 FR
laut-verb,556,522,Tatoeba deu,CC BY 2.0 FR
leben,5361,137,Tatoeba deu,CC BY 2.0 FR
leben-noun,7241,116,Tatoeba deu,CC BY 2.0 FR
lebens,923,418,Tatoeba deu,CC BY 2.0 FR
ledig,52,847,Tatoeba deu,CC BY 2.0 FR
legen,1544,325,Tatoeba deu,CC BY 2.0 FR
lehrer,1819,296,Tatoeba deu,CC BY 2.0 FR
leicht,2396,257,Tatoeba deu,CC BY 2.0 FR
leicht-adv,1697,307,Tatoeba deu,CC BY 2.0 FR
leider,565,517,Tatoeba deu,CC BY 2.0 FR
leise,458,562,Tatoeba deu,CC BY 2.0 FR
leise-adv,280,646,Tatoeba deu,CC BY 2.0 FR
lernen,5823,132,Tatoeba deu,CC BY 2.0 FR
lesen,4494,155,Tatoeba deu,CC BY 2.0 FR
letzt,3,907,Tatoeba deu,CC BY 2.0 FR
letzt-adj,3,907,Tatoeba deu,CC BY 2.0 FR
leute,3835,186,Tatoeba deu,CC BY 2.0 FR
licht,1301,357,Tatoeba deu,CC BY 2.0 FR
lieb,5255,139,Tatoeba deu,CC BY 2.0 FR
lieb-verb,281,643,Tatoeba deu,CC BY 2.0 FR
lieben,5258,138,Tatoeba deu,CC BY 2.0 FR
lieben-adj,1053,395,Tatoeba deu,CC BY 2.0 FR
lieber,1798,298,Tatoeba deu,CC BY 2.0 FR
lieber-adv,1798,298,Tatoeba deu,CC BY 2.0 FR
lied,1027,400,Tatoeba deu,CC BY 2.0 FR
liegen,3490,204,Tatoeba deu,CC BY 2.0 FR
links,323,621,Tatoeba deu,CC BY 2.0 FR
liter,117,763,Tatoeba deu,CC BY 2.0 FR
lkw,63,832,Tatoeba deu,CC BY 2.0 FR
loeffel,160,729,Tatoeba deu,CC BY 2.0 FR
loesung,596,513,Tatoeba deu,CC BY 2.0 FR
lohn,154,735,Tatoeba deu,CC BY 2.0 FR
lokal,34,863,Tatoeba deu,CC BY 2.0 FR
lustig,691,481,Tatoeba deu,CC BY 2.0 FR
machen,21510,47,Tatoeba deu,CC BY 2.0 FR
maedchen,2699,238,Tatoeba deu,CC BY 2.0 FR
maennlich,133,749,Tatoeba deu,CC BY 2.0 FR
